"","country","total_consumption","recorded_consumption","unrecorded_consumption","beer_percentage","wine_percentage","spirits_percentage","other_percentage","X2020_projection","X2025_projection"
"63","Trinidad and Tobago",8.4,7.3,1.1,57.9,3.3,37.1,1.7,9,9.5
"64","Thailand",8.3,6.6,1.7,28.3,2.7,68.9,0,8.7,9.3
"65","Vietnam",8.3,3.1,5.3,91.5,0.8,7.7,0,9.9,11.4
"66","Burkina Faso",8.2,4.9,3.3,18,2.7,5,74.2,8.2,8.3
"67","Dominica",8.2,7.3,1.8,11.1,0,88.9,0,7.5,6.9
"68","Saint Vincent and the Grenadines",8.2,7.4,1.4,36.6,3.6,57.2,2.6,8.4,8.7
"69","Malta",8.1,7.8,1.2,36.4,29.9,28.7,4.9,8.3,8.5
"70","North Macedonia",8.1,4.9,3.6,35.3,46.6,17.4,0.7,7.5,6.6
"71","Japan",8,6.9,1.1,18.2,5.5,40,36.3,8,7.9
"72","Montenegro",8,6.4,1.7,10.8,43.1,44.1,2,7.9,7.9
"73","Panama",7.9,6.8,1.2,76.9,3.5,19.4,0.3,8,8.4
"74","Brazil",7.8,6.5,1.2,61.8,3.4,34.3,0.5,7.8,8.3
"75","Congo",7.8,4.9,3,84.4,4.7,10.3,0.6,7.8,8.2
"76","Kazakhstan",7.7,5.8,1.9,30.5,6.5,62.9,0,8.1,8.8
"77","Albania",7.5,5,2.5,34.3,26.5,37.6,1.7,8.3,9.2
"78","Burundi",7.5,4.1,3.4,39.3,0.1,0.1,60.5,7,6.6
"79","Italy",7.5,7.1,0.5,25.4,64.8,9.8,0,7,6.1
"80","Norway",7.5,6,1.1,43.9,36.7,16.7,2.7,7.8,8.2
"81","Mongolia",7.4,5.7,1.7,43.6,1.9,54.5,0,6.2,9.1
"82","China",7.2,5.7,1.5,29.6,3.1,67.2,0,7.5,8.1
"83","Paraguay",7.2,5.7,1.7,54.2,17.4,27.3,1.1,8.3,9.7
"84","Antigua and Barbuda",7,8.4,1.2,33,18.3,45.4,3.2,7.6,8.4
"85","Niue",7,6,1,56.3,13.1,30.6,0,7,7
"86","Dominican Republic",6.9,5.7,1.3,52.2,4.4,41.9,1.5,7.3,8
"87","São Tomé and Príncipe",6.8,4.9,2,19.8,80.2,0,0,7.1,7.4
"88","Belize",6.7,6.2,1.4,69.1,1.9,26.7,2.3,7,7.2
"89","Cambodia",6.7,3.5,3.2,88.1,0.6,11.2,0.1,7.2,8.1
"90","Philippines",6.6,4.5,2.1,27.3,0.4,72,0.3,6.8,7
"91","Mexico",6.5,5.4,1.4,77.1,2.1,20.4,0.5,7,7.7
"92","Angola",6.4,5,1.4,70.3,17.6,11.3,0.8,6.1,6.6
"93","Bosnia and Herzegovina",6.4,4.4,1.8,75.8,8.6,12.4,3.2,7,7.8
"94","Guyana",6.3,5.1,1.2,48.4,0.2,50.8,0.6,6.3,6.1
